county_fips,state,county,statename,countyname,rfc_per_1000_hhs,rfc_per_1000_hhs_btop,total_prov,total_residential_prov,total_residential_prov_nbp,tmw_prov,year,rfc_per_1000_hhs_nbp
01001,01,001,Alabama,Autauga County,3,3,14,9,4,4,2009-12-01,NA
01003,01,003,Alabama,Baldwin County,4,4,24,11,5,1,2009-12-01,NA
01005,01,005,Alabama,Barbour County,2,2,10,7,1,1,2009-12-01,NA
01007,01,007,Alabama,Bibb County,2,2,7,1,0,4,2009-12-01,NA
01009,01,009,Alabama,Blount County,3,2,12,10,7,4,2009-12-01,NA
01011,01,011,Alabama,Bullock County,2,2,7,7,1,1,2009-12-01,NA
01013,01,013,Alabama,Butler County,3,2,9,7,1,1,2009-12-01,NA
01015,01,015,Alabama,Calhoun County,3,3,18,9,1,1,2009-12-01,NA
01017,01,017,Alabama,Chambers County,2,2,10,7,1,4,2009-12-01,NA
01019,01,019,Alabama,Cherokee County,2,2,10,10,4,1,2009-12-01,NA
01021,01,021,Alabama,Chilton County,2,2,12,6,1,4,2009-12-01,NA
01023,01,023,Alabama,Choctaw County,2,2,6,6,1,1,2009-12-01,NA
01025,01,025,Alabama,Clarke County,2,2,14,10,1,1,2009-12-01,NA
01027,01,027,Alabama,Clay County,2,2,9,7,1,1,2009-12-01,NA
01029,01,029,Alabama,Cleburne County,2,1,8,6,1,1,2009-12-01,NA
01031,01,031,Alabama,Coffee County,3,3,15,10,5,1,2009-12-01,NA
01033,01,033,Alabama,Colbert County,3,2,13,6,1,1,2009-12-01,NA
01035,01,035,Alabama,Conecuh County,2,1,10,7,1,1,2009-12-01,NA
01037,01,037,Alabama,Coosa County,2,2,8,7,4,1,2009-12-01,NA
01039,01,039,Alabama,Covington County,3,2,12,10,4,1,2009-12-01,NA
01041,01,041,Alabama,Crenshaw County,3,2,11,9,1,1,2009-12-01,NA
01043,01,043,Alabama,Cullman County,2,2,15,9,5,1,2009-12-01,NA
01045,01,045,Alabama,Dale County,3,3,12,7,4,1,2009-12-01,NA
01047,01,047,Alabama,Dallas County,2,2,13,6,1,1,2009-12-01,NA
01049,01,049,Alabama,DeKalb County,3,2,15,10,6,1,2009-12-01,NA
01051,01,051,Alabama,Elmore County,4,3,16,10,5,4,2009-12-01,NA
01053,01,053,Alabama,Escambia County,2,2,14,7,1,1,2009-12-01,NA
01055,01,055,Alabama,Etowah County,3,2,16,9,4,1,2009-12-01,NA
01057,01,057,Alabama,Fayette County,2,1,6,5,1,1,2009-12-01,NA
01059,01,059,Alabama,Franklin County,2,2,13,7,1,1,2009-12-01,NA
01061,01,061,Alabama,Geneva County,3,2,11,7,1,1,2009-12-01,NA
01063,01,063,Alabama,Greene County,1,1,8,6,0,1,2009-12-01,NA
01065,01,065,Alabama,Hale County,2,1,7,6,1,1,2009-12-01,NA
01067,01,067,Alabama,Henry County,3,2,10,8,5,1,2009-12-01,NA
01069,01,069,Alabama,Houston County,3,2,14,8,1,1,2009-12-01,NA
01071,01,071,Alabama,Jackson County,2,2,13,10,4,4,2009-12-01,NA
01073,01,073,Alabama,Jefferson County,3,3,31,14,9,4,2009-12-01,NA
01075,01,075,Alabama,Lamar County,2,2,10,8,4,1,2009-12-01,NA
01077,01,077,Alabama,Lauderdale County,3,2,12,4,1,1,2009-12-01,NA
01079,01,079,Alabama,Lawrence County,2,2,9,6,1,1,2009-12-01,NA
01081,01,081,Alabama,Lee County,4,3,18,9,4,4,2009-12-01,NA
01083,01,083,Alabama,Limestone County,3,3,20,8,1,4,2009-12-01,NA
01085,01,085,Alabama,Lowndes County,2,1,8,6,1,4,2009-12-01,NA
01087,01,087,Alabama,Macon County,2,2,9,6,1,4,2009-12-01,NA
01089,01,089,Alabama,Madison County,4,4,27,12,1,4,2009-12-01,NA
01091,01,091,Alabama,Marengo County,2,2,10,6,1,1,2009-12-01,NA
01093,01,093,Alabama,Marion County,2,1,6,5,1,1,2009-12-01,NA
01095,01,095,Alabama,Marshall County,3,2,12,7,1,1,2009-12-01,NA
01097,01,097,Alabama,Mobile County,3,3,25,9,4,1,2009-12-01,NA
01099,01,099,Alabama,Monroe County,3,2,6,4,1,1,2009-12-01,NA
01101,01,101,Alabama,Montgomery County,3,3,24,10,1,4,2009-12-01,NA
01103,01,103,Alabama,Morgan County,3,3,16,8,1,4,2009-12-01,NA
01105,01,105,Alabama,Perry County,1,1,6,5,1,1,2009-12-01,NA
01107,01,107,Alabama,Pickens County,2,1,10,5,1,1,2009-12-01,NA
01109,01,109,Alabama,Pike County,3,2,14,10,1,1,2009-12-01,NA
01111,01,111,Alabama,Randolph County,3,2,9,7,1,1,2009-12-01,NA
01113,01,113,Alabama,Russell County,3,2,9,4,1,5,2009-12-01,NA
01115,01,115,Alabama,St. Clair County,3,3,16,12,6,4,2009-12-01,NA
01117,01,117,Alabama,Shelby County,4,4,24,9,5,4,2009-12-01,NA
01119,01,119,Alabama,Sumter County,2,2,8,5,1,1,2009-12-01,NA
01121,01,121,Alabama,Talladega County,3,2,18,9,4,1,2009-12-01,NA
