year,STATE,ZIP,Prov
6-30-2000,AK,99501,*
6-30-2000,AK,99502,*
6-30-2000,AK,99503,*
6-30-2000,AK,99504,*
6-30-2000,AK,99505,*
6-30-2000,AK,99506,*
6-30-2000,AK,99507,*
6-30-2000,AK,99508,*
6-30-2000,AK,99515,*
6-30-2000,AK,99516,*
6-30-2000,AK,99517,*
6-30-2000,AK,99518,*
6-30-2000,AK,99556,*
6-30-2000,AK,99559,*
6-30-2000,AK,99567,*
6-30-2000,AK,99574,*
6-30-2000,AK,99576,*
6-30-2000,AK,99577,*
6-30-2000,AK,99603,*
6-30-2000,AK,99611,*
6-30-2000,AK,99613,*
6-30-2000,AK,99615,*
6-30-2000,AK,99645,*
6-30-2000,AK,99654,*
6-30-2000,AK,99664,*
6-30-2000,AK,99669,*
6-30-2000,AK,99685,*
6-30-2000,AK,99686,*
6-30-2000,AK,99687,*
6-30-2000,AK,99692,*
6-30-2000,AK,99701,*
6-30-2000,AK,99702,*
6-30-2000,AK,99703,*
6-30-2000,AK,99705,*
6-30-2000,AK,99709,*
6-30-2000,AK,99723,*
6-30-2000,AK,99730,*
6-30-2000,AK,99734,*
6-30-2000,AK,99752,*
6-30-2000,AK,99762,*
6-30-2000,AK,99801,*
6-30-2000,AK,99833,*
6-30-2000,AK,99835,*
6-30-2000,AK,99901,*
6-30-2000,AK,99921,*
6-30-2000,AK,99926,*
6-30-2000,AL,35004,*
6-30-2000,AL,35005,*
6-30-2000,AL,35007,*
6-30-2000,AL,35010,*
6-30-2000,AL,35014,*
6-30-2000,AL,35016,*
6-30-2000,AL,35019,*
6-30-2000,AL,35020,*
6-30-2000,AL,35022,*
6-30-2000,AL,35023,*
6-30-2000,AL,35033,*
6-30-2000,AL,35034,*
6-30-2000,AL,35036,*
6-30-2000,AL,35040,*
6-30-2000,AL,35041,*
6-30-2000,AL,35042,*
6-30-2000,AL,35043,*
6-30-2000,AL,35044,*
6-30-2000,AL,35045,*
6-30-2000,AL,35049,*
6-30-2000,AL,35051,*
6-30-2000,AL,35053,*
6-30-2000,AL,35054,*
6-30-2000,AL,35055,*
6-30-2000,AL,35057,*
6-30-2000,AL,35058,*
6-30-2000,AL,35061,*
6-30-2000,AL,35062,*
6-30-2000,AL,35063,*
6-30-2000,AL,35064,*
6-30-2000,AL,35068,*
6-30-2000,AL,35071,*
6-30-2000,AL,35072,*
6-30-2000,AL,35073,*
6-30-2000,AL,35077,*
6-30-2000,AL,35078,*
6-30-2000,AL,35080,*
6-30-2000,AL,35083,*
6-30-2000,AL,35085,*
6-30-2000,AL,35087,*
6-30-2000,AL,35089,*
6-30-2000,AL,35094,*
6-30-2000,AL,35096,*
6-30-2000,AL,35111,*
6-30-2000,AL,35114,*
6-30-2000,AL,35115,*
6-30-2000,AL,35116,*
6-30-2000,AL,35117,*
6-30-2000,AL,35118,*
6-30-2000,AL,35120,*
6-30-2000,AL,35121,*
6-30-2000,AL,35124,*
6-30-2000,AL,35125,*
6-30-2000,AL,35126,*
6-30-2000,AL,35127,*
6-30-2000,AL,35128,*
6-30-2000,AL,35130,*
6-30-2000,AL,35133,*
6-30-2000,AL,35136,*
6-30-2000,AL,35143,*
6-30-2000,AL,35146,*
6-30-2000,AL,35147,*
6-30-2000,AL,35148,*
6-30-2000,AL,35150,*
6-30-2000,AL,35151,*
6-30-2000,AL,35160,*
6-30-2000,AL,35171,*
6-30-2000,AL,35172,*
6-30-2000,AL,35173,*
6-30-2000,AL,35175,*
6-30-2000,AL,35176,*
6-30-2000,AL,35178,*
6-30-2000,AL,35179,*
6-30-2000,AL,35180,*
6-30-2000,AL,35184,*
6-30-2000,AL,35186,*
6-30-2000,AL,35188,*
6-30-2000,AL,35203,*
6-30-2000,AL,35204,*
6-30-2000,AL,35205,*
6-30-2000,AL,35206,*
6-30-2000,AL,35207,*
6-30-2000,AL,35208,*
6-30-2000,AL,35209,4
6-30-2000,AL,35210,*
6-30-2000,AL,35211,*
6-30-2000,AL,35212,*
6-30-2000,AL,35213,*
6-30-2000,AL,35214,*
6-30-2000,AL,35215,4
6-30-2000,AL,35216,4
6-30-2000,AL,35217,4
6-30-2000,AL,35218,*
6-30-2000,AL,35221,*
6-30-2000,AL,35222,*
6-30-2000,AL,35223,*
6-30-2000,AL,35224,*
6-30-2000,AL,35226,*
6-30-2000,AL,35228,*
6-30-2000,AL,35233,*
6-30-2000,AL,35234,*
6-30-2000,AL,35235,*
6-30-2000,AL,35242,*
6-30-2000,AL,35243,4
6-30-2000,AL,35244,4
6-30-2000,AL,35401,*
6-30-2000,AL,35404,*
6-30-2000,AL,35405,*
6-30-2000,AL,35406,*
6-30-2000,AL,35444,*
6-30-2000,AL,35446,*
6-30-2000,AL,35447,*
6-30-2000,AL,35452,*
6-30-2000,AL,35453,*
6-30-2000,AL,35456,*
6-30-2000,AL,35461,*
6-30-2000,AL,35462,*
6-30-2000,AL,35470,*
6-30-2000,AL,35475,*
6-30-2000,AL,35476,*
6-30-2000,AL,35481,*
6-30-2000,AL,35490,*
6-30-2000,AL,35501,*
6-30-2000,AL,35503,*
6-30-2000,AL,35504,*
6-30-2000,AL,35540,*
6-30-2000,AL,35543,*
6-30-2000,AL,35546,*
6-30-2000,AL,35549,*
6-30-2000,AL,35550,*
6-30-2000,AL,35553,*
6-30-2000,AL,35554,*
6-30-2000,AL,35555,*
6-30-2000,AL,35565,*
6-30-2000,AL,35570,*
6-30-2000,AL,35578,*
6-30-2000,AL,35579,*
6-30-2000,AL,35580,*
6-30-2000,AL,35581,*
6-30-2000,AL,35582,*
6-30-2000,AL,35586,*
6-30-2000,AL,35594,*
6-30-2000,AL,35601,*
6-30-2000,AL,35603,*
6-30-2000,AL,35611,*
6-30-2000,AL,35613,*
