"year","Category","n","Providers","Population","Income"
"1999","All","3,089","1.52 (1.02)","75,700 (239,426)","37,242 (10,250)"
"1999","Farm Bill","286","1.6 (0.871)","62,516 (203,311)","37,633 (8,515)"
"1999","Pilot","105","1.57 (0.98)","81,860 (292,645)","38,889 (10,519)"
"2000","All","3,089","1.94 (1.21)","76,643 (242,692)","37,771 (10,839)"
"2000","Farm Bill","286","1.89 (0.997)","63,507 (207,043)","38,038 (8,621)"
"2000","Pilot","105","1.83 (1.06)","83,032 (296,372)","39,560 (10,856)"
"2001","All","3,089","2.76 (1.66)","77,547 (246,354)","36,248 (9,490)"
"2001","Farm Bill","286","2.75 (1.52)","64,475 (212,296)","36,605 (7,918)"
"2001","Pilot","105","2.82 (1.68)","84,336 (303,094)","38,142 (9,929)"
"2002","All","3,090","3.41 (1.98)","78,110 (248,066)","35,279 (9,050)"
"2002","Farm Bill","286","3.39 (1.73)","65,308 (215,686)","35,509 (7,534)"
"2002","Pilot","105","3.56 (2.17)","84,689 (306,482)","37,279 (9,741)"
"2003","All","3,090","4.13 (2.31)","78,827 (250,192)","35,449 (8,965)"
"2003","Farm Bill","286","4.19 (1.92)","66,277 (220,103)","35,659 (7,608)"
"2003","Pilot","105","4.43 (2.54)","85,699 (311,352)","37,283 (9,472)"
"2004","All","3,090","4.54 (2.41)","79,601 (251,664)","36,350 (9,423)"
"2004","Farm Bill","286","4.68 (1.96)","67,239 (225,307)","36,654 (8,361)"
"2004","Pilot","105","4.77 (2.45)","87,016 (318,103)","38,150 (9,779)"
"2005","All","3,090","5.9 (2.9)","79,865 (252,250)","36,978 (9,468)"
"2005","Farm Bill","286","6.17 (2.27)","67,940 (229,920)","37,146 (8,364)"
"2005","Pilot","105","6.22 (2.85)","88,104 (324,217)","38,565 (9,865)"
"2006","All","3,090","7.15 (2.52)","81,472 (256,096)","37,400 (9,881)"
"2006","Farm Bill","286","7.54 (2.09)","69,587 (235,284)","37,583 (8,957)"
"2006","Pilot","105","7.61 (2.63)","90,342 (330,947)","38,355 (10,192)"
"2007","All","3,090","7.8 (2.48)","87,846 (274,491)","34,420 (10,306)"
"2007","Farm Bill","286","8.11 (2)","75,206 (253,252)","34,623 (8,886)"
"2007","Pilot","105","8.31 (2.64)","96,276 (354,242)","36,698 (10,534)"
"2008","All","3,090","9.26 (3.01)","84,336 (266,711)","36,425 (9,067)"
"2008","Farm Bill","286","9.44 (2.4)","72,675 (251,376)","36,414 (7,987)"
"2008","Pilot","105","9.79 (2.94)","94,422 (352,693)","38,588 (9,675)"
