"year","Providers","Establishments","Employed","Pay","TRI","AREA"
"1999","1.6 (1.46)","220 (335)","3,420 (7,454)","$22,380 ($8,407)","7.98 (12.7)","118 (218)"
"2000","1.82 (1.57)","221 (334)","3,509 (7,738)","$22,301 ($8,504)","7.98 (12.7)","118 (218)"
"2001","2.85 (2.55)","222 (334)","3,547 (7,748)","$22,358 ($8,280)","7.98 (12.7)","118 (218)"
"2002","3.61 (3.31)","231 (344)","3,547 (7,661)","$22,731 ($8,375)","7.98 (12.7)","118 (218)"
"2003","4.11 (3.18)","234 (348)","3,648 (7,836)","$22,660 ($8,190)","7.98 (12.7)","118 (218)"
"2004","4.51 (3.13)","240 (355)","3,686 (7,922)","$22,898 ($8,259)","7.98 (12.7)","118 (218)"
"2005","5.65 (3.64)","245 (360)","3,730 (8,042)","$23,511 ($8,884)","7.98 (12.7)","118 (218)"
"2006","6.55 (3.24)","250 (367)","3,930 (8,588)","$23,578 ($8,562)","7.98 (12.7)","118 (218)"
"2007","7.59 (3)","255 (366)","3,996 (8,581)","$23,728 ($8,630)","7.98 (12.7)","118 (218)"
"2008","8.97 (3.69)","252 (361)","3,996 (8,464)","$23,362 ($8,853)","7.98 (12.7)","118 (218)"
