"year","Category","n","Providers","Establishments","Employed","TRI","AREA"
"1999","All Zips","29,588","1.51 (1.58)","226 (377)","3,520 (7,391)","15.6 (20.2)","99.1 (245)"
"1999","Farm Bill","1,359","1.6 (1.46)","220 (335)","3,420 (7,454)","7.98 (12.7)","118 (218)"
"1999","Pilot","346","1.13 (1.32)","167 (266)","2,223 (4,317)","7.75 (9.3)","116 (181)"
"2000","All Zips","29,588","1.88 (1.84)","228 (378)","3,616 (7,596)","15.6 (20.2)","99.1 (245)"
"2000","Farm Bill","1,359","1.82 (1.57)","221 (334)","3,509 (7,738)","7.98 (12.7)","118 (218)"
"2000","Pilot","346","1.19 (1.31)","170 (271)","2,331 (4,511)","7.75 (9.3)","116 (181)"
"2001","All Zips","29,588","2.9 (2.7)","228 (377)","3,639 (7,691)","15.6 (20.2)","99.1 (245)"
"2001","Farm Bill","1,359","2.85 (2.55)","222 (334)","3,547 (7,748)","7.98 (12.7)","118 (218)"
"2001","Pilot","346","2.01 (1.95)","172 (273)","2,359 (4,548)","7.75 (9.3)","116 (181)"
"2002","All Zips","29,588","3.51 (3.08)","234 (383)","3,573 (7,395)","15.6 (20.2)","99.1 (245)"
"2002","Farm Bill","1,359","3.61 (3.31)","231 (344)","3,547 (7,661)","7.98 (12.7)","118 (218)"
"2002","Pilot","346","2.62 (2.54)","180 (285)","2,345 (4,447)","7.75 (9.3)","116 (181)"
"2003","All Zips","29,588","4.18 (3.48)","236 (386)","3,604 (7,411)","15.6 (20.2)","99.1 (245)"
"2003","Farm Bill","1,359","4.11 (3.18)","234 (348)","3,648 (7,836)","7.98 (12.7)","118 (218)"
"2003","Pilot","346","3.33 (3.06)","185 (292)","2,392 (4,466)","7.75 (9.3)","116 (181)"
"2004","All Zips","29,588","4.54 (3.53)","241 (394)","3,665 (7,461)","15.6 (20.2)","99.1 (245)"
"2004","Farm Bill","1,359","4.51 (3.13)","240 (355)","3,686 (7,922)","7.98 (12.7)","118 (218)"
"2004","Pilot","346","3.49 (2.86)","191 (300)","2,433 (4,488)","7.75 (9.3)","116 (181)"
"2005","All Zips","29,588","5.52 (4.2)","245 (399)","3,695 (7,476)","15.6 (20.2)","99.1 (245)"
"2005","Farm Bill","1,359","5.65 (3.64)","245 (360)","3,730 (8,042)","7.98 (12.7)","118 (218)"
"2005","Pilot","346","4.82 (3.84)","193 (305)","2,513 (4,635)","7.75 (9.3)","116 (181)"
"2006","All Zips","29,588","6.24 (3.64)","248 (404)","3,803 (7,679)","15.6 (20.2)","99.1 (245)"
"2006","Farm Bill","1,359","6.55 (3.24)","250 (367)","3,930 (8,588)","7.98 (12.7)","118 (218)"
"2006","Pilot","346","5.63 (3.57)","197 (312)","2,603 (4,821)","7.75 (9.3)","116 (181)"
"2007","All Zips","29,588","7.15 (3.51)","252 (407)","3,812 (7,672)","15.6 (20.2)","99.1 (245)"
"2007","Farm Bill","1,359","7.59 (3)","255 (366)","3,996 (8,581)","7.98 (12.7)","118 (218)"
"2007","Pilot","346","6.75 (3.77)","200 (319)","2,686 (5,098)","7.75 (9.3)","116 (181)"
"2008","All Zips","29,588","8.67 (4.36)","248 (402)","3,821 (7,705)","15.6 (20.2)","99.1 (245)"
"2008","Farm Bill","1,359","8.97 (3.69)","252 (361)","3,996 (8,464)","7.98 (12.7)","118 (218)"
"2008","Pilot","346","7.98 (4.05)","198 (316)","2,684 (5,002)","7.75 (9.3)","116 (181)"
